SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL
"Interviewing","08/25/2015 12:00 AM","08/26/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Interviewing-8-26-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Project Pitches","08/28/2015 12:00 AM","08/29/2015 12:00 AM","","Project Pitch Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/project-pitches">[requirements]</a>","","","",""
"Project Votes due","09/04/2015 12:00 AM","09/05/2015 12:00 AM","","","","","",""
"Gathering Requirements","09/08/2015 12:00 AM","09/09/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Gathering-Requirements-9-9-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Organizing Information","09/13/2015 12:00 AM","09/14/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Organizing-Information-9-14-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Task Centered Design","09/15/2015 12:00 AM","09/16/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Task-Centered-Design-9-16-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Milestone 1 WriteUp Due","09/20/2015 12:00 AM","09/21/2015 12:00 AM","","Milestone 1 WriteUp and Team Member Ratings Due<a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-1">[requirements]</a>","","","",""
"Milestone 1 WriteUp Due","09/22/2015 12:00 AM","09/23/2015 12:00 AM","","Milestone 1 WriteUp Due<a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-1">[requirements]</a>","","","",""
"Initial Design","09/27/2015 12:00 AM","09/28/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Initial-Design-9-28-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Paper Prototyping","09/29/2015 12:00 AM","09/30/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Paper-Prototyping-9-30-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"User Testing 101","10/04/2015 12:00 AM","10/05/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-User-Testing-101-10-5-2015---10-7-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Milestone 2 Writeup Due","10/11/2015 12:00 AM","10/12/2015 12:00 AM","","Milestone 2 WriteUp Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-2">[requirements]</a>","","","",""
"Milestone 2 Writeup Due","10/13/2015 12:00 AM","10/14/2015 12:00 AM","","Milestone 2 WriteUp Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-2">[requirements]</a>","","","",""
"Online Communities","10/18/2015 12:00 AM","10/19/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Guest-Lecture-Professor-Das-:-Online-Communities-10-19-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Social Responses to Technology","10/20/2015 12:00 AM","10/21/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-No-Class:-Social-Responses-to-Technology-10-21-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Visual Design","10/25/2015 12:00 AM","10/26/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Visual-Design-10-26-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"The Action Cycle","10/27/2015 12:00 AM","10/28/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Action-Cycle-10-28-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Cognitive Walkthrough","11/01/2015 12:00 AM","11/02/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Cognitive-Walkthrough-11-2-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"GOMS Evaluations","11/03/2015 12:00 AM","11/04/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-GOMs-Evaluation-11-4-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Milestone 3 WriteUp Due","11/08/2015 12:00 AM","11/09/2015 12:00 AM","","Milestone 3 WriteupDue <a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-3">[requirements]</a>","","","",""
"Milestone 3 WriteUp Due","11/10/2015 12:00 AM","11/11/2015 12:00 AM","","Milestone 3 WriteupDue <a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-3">[requirements]</a>","","","",""
"Heuristic Evaluation","11/29/2015 12:00 AM","11/30/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Heuristic-Evaluation-11-30-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Information Scent","12/01/2015 12:00 AM","12/02/2015 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Information-Scent-12-2-2015-">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
